,maid,longitude,latitude,horizontal_accuracy,city_hasc,postcode,Date,Hour,count,Y,Color
423,b1ae6fecd66d5853678e60c77d720e596bef0f12,129.86522,-2.98315,15.0,ID.MA.MT,97544.0,16-06-21,10:00:03,6,0.999,green
413,ae5e630b76502d87a4d57c5b71e2c8b3675d4404,128.194223,-3.693693,14.0,ID.MA.AM,97121.0,16-06-21,10:00:15,209,0.999,green
164,4b3f07f48e124ac1f81d56fea3e71626d08ed9c0,128.217803,-3.662029,18.0,ID.MA.AM,97212.0,16-06-21,10:00:20,1,0.999,green
121,3683426f5b596393ef0b1d256d9bd702f2beff85,128.17708,-3.698131,4.0,ID.MA.AM,97111.0,16-06-21,10:00:25,2,1.0,green
475,cd0dcb197d2d6e264e20c38a56b10803bb052c4a,128.200702,-3.637006,12.0,ID.MA.AM,97221.0,16-06-21,10:00:28,13,1.0,green
127,39e1528acb75bdab59ef9af077fde8b0ad21c245,128.34865,-3.33178,23.0,ID.MA.SB,97566.0,16-06-21,10:00:40,2,0.999,green
47,169c35c42a590ba4cf3ecd7ed90703345c570720,128.336748,-3.635365,30.0,ID.MA.MT,97544.0,16-06-21,10:00:46,3,1.0,green
564,fce77778bb3b0b0b3ee79b096a6571ba0884c31a,128.193886,-3.641959,22.0,ID.MA.AM,97222.0,16-06-21,10:00:46,4,0.999,green
384,a1454a61337b55363e698365b3829a611e1bfe8f,128.2463,-3.63995,31.0,ID.MA.AM,97211.0,16-06-21,10:00:51,3,1.0,green
410,ab5ee863ff24bac4bacdf6db52d285c194483ee1,128.180421,-3.694101,7.0,ID.MA.AM,97126.0,16-06-21,10:00:59,1,1.0,green
317,84699c562426d2fbd238ab132092120db92eff73,128.957654,-3.301712,6.0,ID.MA.MT,97544.0,16-06-21,10:01:05,197,0.999,green
556,f993881bc08df2f39b5358980321061f1c1d6621,128.252021,-3.627066,4.0,ID.MA.AM,97214.0,16-06-21,10:01:19,3,0.999,green
157,48a0b2dc07f0721ac91f1c5567d2fb8334f78ec2,128.35541,-3.332096,12.0,ID.MA.SB,97566.0,16-06-21,10:01:19,1,1.0,green
116,35a77c8b559aab9c9010a6cfa14dd072ad0a802f,130.074981,-3.028555,11.0,ID.MA.MT,97544.0,16-06-21,10:01:28,10,0.999,green
369,9b1b01b1abd769bfc4388f9b1d81c3b49a43e4d9,128.112991,-3.783596,25.0,ID.MA.AM,97118.0,16-06-21,10:01:54,5,0.999,green
337,8ce9cd519f94b18556ff8a477eaa0c4c35522512,128.209682,-3.675675,3.0,ID.MA.AM,97128.0,16-06-21,10:01:57,79,0.999,green
325,89b1370b0075a623cfb66e0176b4e682f38acff2,128.176168,-3.693693,9.0,ID.MA.AM,,16-06-21,10:01:57,86,1.0,green
260,6d81da08243141449ed6c62195012a5f8d9f3930,128.125765,-2.960088,12.0,ID.MA.SB,97561.0,16-06-21,10:01:58,8,1.0,green
286,78a1dcead49e3825740f46ff7250d351c580ab84,128.331261,-3.633518,7.0,ID.MA.MT,97544.0,16-06-21,10:02:02,73,1.0,green
437,baac2bdc24333f68d8a97f6fdc53b54db62d9d07,128.098646,-3.78885,20.0,ID.MA.AM,97118.0,16-06-21,10:02:29,3,1.0,green
380,9f423d97c9af0d81f2e6e845f71998e462f061ed,128.26134,-3.64755,28.0,ID.MA.AM,97214.0,16-06-21,10:02:32,2,0.999,green
92,2b605cb9cf612afd56f0869fe7e13b8519e02d7d,128.473153,-3.519303,10.0,ID.MA.MT,97545.0,16-06-21,10:02:34,18,1.0,green
498,ddc8c3d1d3e59df5f2a0513d0d7808cb9b51dee0,128.220131,-3.661416,9.0,ID.MA.AM,97212.0,16-06-21,10:02:44,2,0.999,green
5,0226678987a3476a8953e22e0bf078f902cfdcee,128.198488,-3.690265,9.0,ID.MA.AM,97129.0,16-06-21,10:02:47,3,0.999,green
139,3ffa1c213496793f9f7a4b92177c5992e23ed077,129.08229,-3.341601,9.0,ID.MA.MT,97544.0,16-06-21,10:02:54,4,1.0,green
386,a205fbdbf11ef597851fadbd8e19c1d9ace59ae0,128.323465,-3.571153,10.0,ID.MA.MT,97544.0,16-06-21,10:02:55,5,0.999,green
269,70e9642881d8a3493a7547bb83bc51e7c956d812,128.132371,-3.743813,16.0,ID.MA.AM,97117.0,16-06-21,10:03:23,3,0.999,green
176,4eb8cc47d82624c39554392c0d428e4e05c48ea4,128.326408,-3.584325,7.0,ID.MA.MT,97544.0,16-06-21,10:03:34,1,1.0,green
37,12507d45e932ced0939233d040378e2bf953d11a,128.256132,-3.621621,27.0,ID.MA.AM,97214.0,16-06-21,10:03:39,291,0.999,green
552,f55da82a4e0d36c731805cc95b78363262537f4c,128.300925,-3.24232,12.0,ID.MA.SB,97564.0,16-06-21,10:03:42,1,1.0,green
262,6d9ffaf1dd0d27cd9f3673f11a032e532fae7d3b,128.16072,-3.711711,6.0,ID.MA.AM,97117.0,16-06-21,10:03:48,3,0.999,green
422,b166347bb2ea9bcf66799ccc7ac60a5137e614f2,128.210239,-3.680611,8.0,ID.MA.AM,97128.0,16-06-21,10:03:56,2,1.0,green
30,0dfc410ae928da62f7ea3b6f859f339b730d9ade,129.751569,-2.939588,17.0,ID.MA.MT,97544.0,16-06-21,10:04:20,2,1.0,green
501,de4609b3ae866a0f1d4f7c71bf89bc2e172dd928,127.941268,-3.341661,6.0,ID.MA.SB,97571.0,16-06-21,10:04:39,1,0.999,green
470,cb962c1f9970a026a3e324daadb532c048d00e9c,128.11567,-3.06593,17.0,ID.MA.SB,97561.0,16-06-21,10:04:42,5,0.999,green
22,0928bfe24299f9c0641108d6f7134165b5d5eed5,128.23807,-3.62163,15.0,ID.MA.AM,97215.0,16-06-21,10:04:49,100,0.999,green
23,09fa7a2269f06787cac4d5463f157ab5957dab2c,128.1776,-3.6902,39.0,,,16-06-21,10:05:19,1,0.999,green
